date,site,recipe_title,url,target_keyword,pinterest_volume,google_volume,competition,pin_image_url
2026-07-18,thehungryhousehold.com,"Air Fryer Chicken Breast",https://thehungryhousehold.com/air-fryer/air-fryer-chicken-breast/,air fryer chicken breast,,14800,0.09,https://thehungryhousehold.com/images/air-fryer-chicken-breast/pin.jpg
2026-07-18,thehungryhousehold.com,"Air Fryer Chicken Thighs",https://thehungryhousehold.com/air-fryer/air-fryer-chicken-thighs/,air fryer chicken thighs,,135000,0.07,https://thehungryhousehold.com/images/air-fryer-chicken-thighs/pin.jpg
2026-07-18,thehungryhousehold.com,"Air Fryer Chicken Wings",https://thehungryhousehold.com/air-fryer/air-fryer-chicken-wings/,air fryer chicken wings,,90500,0.22,https://thehungryhousehold.com/images/air-fryer-chicken-wings/pin.jpg
2026-07-18,thehungryhousehold.com,"Baked Chicken Breast",https://thehungryhousehold.com/chicken/baked-chicken-breast/,baked chicken breast,40664,201000,0.18,https://thehungryhousehold.com/images/baked-chicken-breast/pin.jpg
2026-07-18,thehungryhousehold.com,"Baked Chicken Thighs",https://thehungryhousehold.com/chicken/baked-chicken-thighs/,baked chicken thighs,,135000,0.14,https://thehungryhousehold.com/images/baked-chicken-thighs/pin.jpg
2026-07-18,thehungryhousehold.com,"Beef and Broccoli",https://thehungryhousehold.com/dinner/beef-and-broccoli/,ground beef recipes for dinner,,,,https://thehungryhousehold.com/images/beef-and-broccoli/pin.jpg
2026-07-18,thehungryhousehold.com,"Brown Butter Chocolate Chip Cookies",https://thehungryhousehold.com/cookies/brown-butter-chocolate-chip-cookies/,brown butter chocolate chip cookies,,90500,0.03,https://thehungryhousehold.com/images/brown-butter-chocolate-chip-cookies/pin.jpg
2026-07-18,thehungryhousehold.com,"Chicken Alfredo",https://thehungryhousehold.com/chicken/chicken-alfredo/,chicken alfredo,,165000,0.12,https://thehungryhousehold.com/images/chicken-alfredo/pin.jpg
2026-07-18,thehungryhousehold.com,"Chicken Casserole",https://thehungryhousehold.com/chicken/chicken-casserole/,chicken casserole,,49500,0.32,https://thehungryhousehold.com/images/chicken-casserole/pin.jpg
2026-07-18,thehungryhousehold.com,"Chicken Fajitas",https://thehungryhousehold.com/chicken/chicken-fajitas/,chicken fajitas,,74000,0.19,https://thehungryhousehold.com/images/chicken-fajitas/pin.jpg
2026-07-18,thehungryhousehold.com,"Chicken Parmesan",https://thehungryhousehold.com/chicken/chicken-parmesan/,chicken parmesan,,49500,0.02,https://thehungryhousehold.com/images/chicken-parmesan/pin.jpg
2026-07-18,thehungryhousehold.com,"Chicken Salad",https://thehungryhousehold.com/salads/chicken-salad/,chicken salad,19798,165000,0.26,https://thehungryhousehold.com/images/chicken-salad/pin.jpg
2026-07-18,thehungryhousehold.com,"Chocolate Chip Cookies",https://thehungryhousehold.com/cookies/chocolate-chip-cookies/,chocolate chip cookies,,301000,0.35,https://thehungryhousehold.com/images/chocolate-chip-cookies/pin.jpg
2026-07-18,thehungryhousehold.com,"Crockpot Beef Stew",https://thehungryhousehold.com/crockpot/crockpot-beef-stew/,crockpot beef stew,,40500,0.11,https://thehungryhousehold.com/images/crockpot-beef-stew/pin.jpg
2026-07-18,thehungryhousehold.com,"Crockpot Chicken",https://thehungryhousehold.com/crockpot/crockpot-chicken/,crockpot chicken,,49500,0.14,https://thehungryhousehold.com/images/crockpot-chicken/pin.jpg
2026-07-18,thehungryhousehold.com,"Crockpot Chili",https://thehungryhousehold.com/crockpot/crockpot-chili/,crockpot chili,,33100,0.05,https://thehungryhousehold.com/images/crockpot-chili/pin.jpg
2026-07-18,thehungryhousehold.com,"Crockpot Pot Roast",https://thehungryhousehold.com/crockpot/crockpot-pot-roast/,crockpot pot roast,,33100,0.18,https://thehungryhousehold.com/images/crockpot-pot-roast/pin.jpg
2026-07-18,thehungryhousehold.com,"Greek Salad",https://thehungryhousehold.com/salads/greek-salad/,greek salad,,110000,0.16,https://thehungryhousehold.com/images/greek-salad/pin.jpg
2026-07-18,thehungryhousehold.com,"Honey Garlic Chicken",https://thehungryhousehold.com/chicken/honey-garlic-chicken/,honey garlic chicken,,49500,0.02,https://thehungryhousehold.com/images/honey-garlic-chicken/pin.jpg
2026-07-18,thehungryhousehold.com,"Molasses Cookies",https://thehungryhousehold.com/cookies/molasses-cookies/,molasses cookies,,33100,0.3,https://thehungryhousehold.com/images/molasses-cookies/pin.jpg
2026-07-18,thehungryhousehold.com,"Oatmeal Cookies",https://thehungryhousehold.com/cookies/oatmeal-cookies/,oatmeal cookies,,74000,0.55,https://thehungryhousehold.com/images/oatmeal-cookies/pin.jpg
2026-07-18,thehungryhousehold.com,"One-Pan Ground Beef Skillet",https://thehungryhousehold.com/dinner/one-pan-ground-beef-skillet/,ground beef recipes for dinner,956000,40500,,https://thehungryhousehold.com/images/one-pan-ground-beef-skillet/pin.jpg
2026-07-18,thehungryhousehold.com,"One-Pot Pasta",https://thehungryhousehold.com/dinner/one-pot-pasta/,easy dinner recipes,,,,https://thehungryhousehold.com/images/one-pot-pasta/pin.jpg
2026-07-18,thehungryhousehold.com,"Pasta Salad",https://thehungryhousehold.com/salads/pasta-salad/,pasta salad,1344033,20,,https://thehungryhousehold.com/images/pasta-salad/pin.jpg
2026-07-18,thehungryhousehold.com,"Peanut Butter Cookies",https://thehungryhousehold.com/cookies/peanut-butter-cookies/,peanut butter cookies,,165000,0.27,https://thehungryhousehold.com/images/peanut-butter-cookies/pin.jpg
2026-07-18,thehungryhousehold.com,"Sheet Pan Sausage and Vegetables",https://thehungryhousehold.com/dinner/sheet-pan-sausage-and-vegetables/,easy dinner recipes,,,,https://thehungryhousehold.com/images/sheet-pan-sausage-and-vegetables/pin.jpg
2026-07-18,thehungryhousehold.com,"Snickerdoodle Cookies",https://thehungryhousehold.com/cookies/snickerdoodle-cookies/,snickerdoodle cookies,,33100,0.41,https://thehungryhousehold.com/images/snickerdoodle-cookies/pin.jpg
2026-07-18,thehungryhousehold.com,"Stuffed Chicken Breast",https://thehungryhousehold.com/chicken/stuffed-chicken-breast/,stuffed chicken breast,,40500,0.24,https://thehungryhousehold.com/images/stuffed-chicken-breast/pin.jpg
